What subject area or types of Zooniverse projects do you enjoy the most?,Which Snapshots at Sea workflow did you classify on?,Which Snapshots at Sea workflow did you prefer?,Why did you prefer that workflow?,What device did you primarily classify on for Snapshots at Sea?
"Historical e.g. diaries, recipes",Both,Both,A bit more thought involved,Computer
Animals,Both,Both,Allowed for easy participation when I wanted just a quick break.,Computer
Nature,Both,Survey Workflow,"Although the yes/no was nice for mobile use, the survey was generally my favourite because I had to use more of my brain cells ;)",Computer
"Space, physics, and animal classification.",Both,Yes/No Workflow,Because it's so much easier and faster. More pictures for me to see is much more fun!,Computer
space,Yes/No Workflow,Yes/No Workflow,both,Computer
marking or survey tasks,Both,Both,"Both interesting and still pretty quick to answer, getting me through many classification items",Mobile phone
"wildlife, nature",Both,Both,both interesting to me,Computer
Animal and fish/underwater,Both,Both,Classification ,Tablet
animals,Both,Yes/No Workflow,could classify more pictures in the same time,Computer
Animal classification,Yes/No Workflow,Prefer not to say,Did not work on Survey workflow so difficult to determine which I prefer.,Computer
wild cams,Both,Survey Workflow,easier and faster,Tablet
Alll,Both,Yes/No Workflow,"Easier to answer, less ambiguity ",Mobile phone
Wildlife and astronomy,Yes/No Workflow,Yes/No Workflow,Easier to finish a single classification,Computer
"Botanical, Astronomy, Archeology",Both,Yes/No Workflow,Easy fast,Tablet
"Humanities, life sciences ",Yes/No Workflow,Yes/No Workflow,Easy to answer ,Computer
 Biology,Yes/No Workflow,Yes/No Workflow,Easy to classify quickly,Tablet
all,Both,Both,easy to do,Computer
Identifying animals,Survey Workflow,Survey Workflow,"Easy to do, with more being accomplished for the scientists.",Computer
penquins,Survey Workflow,Both,easy to target topic,Computer
Animals,Yes/No Workflow,Yes/No Workflow,"Easy, relaxing",Tablet
Ecology,Yes/No Workflow,Yes/No Workflow,"Enabled a look at a broader range of photographs, easier to compare different examples.",Computer
Zoology,Both,Yes/No Workflow,Enjoyed following through the classification ,Computer
Wildlife ,Both,Survey Workflow,Felt like getting a bit more into the 'meat' of it. ,Tablet
Animals,Survey Workflow,Survey Workflow,Found it more engaging as well as more interesting,Computer
Anything with animals or birds,Both,Yes/No Workflow,Got to see more images,Computer
"Testing Beta projects, All astronomy projects, Biological projects, whale projects ,Animal projects , I have about 19 projects that I have helped with.",Both,Survey Workflow,hands on .,Computer
Broad tastes. Find floating forests difficult. Slow video speed limits my choices.,Both,Both,I didn't really do enough on this project to make a meaningful assessment,Computer
ecology,Yes/No Workflow,Yes/No Workflow,I enjoyed the speed and  simplicity of the process. It increased the number of pictures I looked at compared to having to do more detailed survey work.,Computer
